table,{,},if,(,),then,else,while,ID,=,;,<,>,<=,>=,==,+,-,*,/,NUM,$,A',A,B,C,D,E,F,G,H,I,J,K,L,M,N
110,,,,,r19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,r20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,r23,,,,,,,,,,,,r23,r23,,,,,,,,,,,,,,,,,,,
113,,,,,r24,,,,,,,,,,,,r24,r24,,,,,,,,,,,,,,,,,,,
114,r9,r9,r9,,,,,r9,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,s119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,s120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,s121,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,r6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,s122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,s91,,s88,,,,,s89,s90,,,,,,,,,,,,,,,,123,87,,84,85,86,,,,,,,
121,,,,,,,r11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,s91,,s88,,,,,s89,s90,,,,,,,,,,,,,,,,124,87,,84,85,86,,,,,,,
123,,,,,,,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,s125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,s91,,s88,,,,,s89,s90,,,,,,,,,,,,,,,,126,87,,84,85,86,,,,,,,
126,,,,,,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
